km,prices 0.01,prices 0.02,prices 0.03,prices 0.04,prices 0.05,prices 0.06,prices 0.08,prices 0.09,prices 0.10
0,8076.442358988143,8207.800117649866,8263.474459519311,8296.142350308623,8318.188133422464,8334.31052946205,8346.819975902217,8356.976722060139,8365.185122242827
20000,7727.949969088603,7834.322747841377,7879.407518700907,7905.861794068075,7923.714346010889,7936.770172209173,7946.900252016079,7955.125128284615,7961.772244872496
40000,7379.457579189064,7460.845378032891,7495.340577882502,7515.581237827526,7529.2405585993165,7539.229814956298,7546.980528129942,7553.2735345090905,7558.359367502165
60000,7030.965189289525,7087.368008224405,7111.273637064096,7125.300681586978,7134.766771187742,7141.68945770342,7147.060804243805,7151.421940733566,7154.946490131834
80000,6682.472799389986,6713.890638415917,6727.206696245691,6735.020125346429,6740.292983776169,6744.149100450544,6747.141080357667,6749.570346958042,6751.533612761505
100000,6333.980409490447,6340.413268607431,6343.139755427286,6344.739569105881,6345.819196364596,6346.6087431976675,6347.221356471529,6347.7187531825175,6348.120735391173
120000,5985.488019590908,5966.9358987989435,5959.072814608881,5954.459012865332,5951.345408953022,5949.068385944791,5947.301632585392,5945.867159406993,5944.707858020843
140000,5636.995629691369,5593.458528990457,5575.005873790476,5564.178456624783,5556.871621541449,5551.528028691914,5547.381908699254,5544.015565631469,5541.294980650512
160000,5288.503239791829,5219.981159181971,5190.938932972071,5173.897900384234,5162.397834129875,5153.9876714390375,5147.462184813117,5142.163971855944,5137.882103280181
180000,4940.010849892291,4846.503789373484,4806.871992153666,4783.617344143686,4767.924046718302,4756.447314186162,4747.542460926979,4740.31237808042,4734.46922590985
200000,4591.518459992752,4473.026419564997,4422.805051335261,4393.3367879031375,4373.450259306728,4358.906956933285,4347.622737040842,4338.460784304895,4331.05634853952
220000,4243.026070093212,4099.549049756511,4038.7381105168556,4003.056231662589,3978.976471895155,3961.3665996804084,3947.703013154705,3936.609190529371,3927.643471169189
240000,3894.5336801936733,3726.0716799480238,3654.6711696984503,3612.7756754220404,3584.5026844835816,3563.8262424275317,3547.783289268567,3534.7575967538464,3524.2305937988585
